280,00000 0,01160
281,00000 0,01164
282,00000 0,01164
283,00000 0,01169
284,00000 0,01175
285,00000 0,01179
286,00000 0,01179
287,00000 0,01184
288,00000 0,01190
289,00000 0,01195
290,00000 0,01195
291,00000 0,01200
292,00000 0,01205
293,00000 0,01210
294,00000 0,01210
295,00000 0,01215
296,00000 0,01220
297,00000 0,01225
298,00000 0,01225
299,00000 0,01229
300,00000 0,01234
301,00000 0,01239
302,00000 0,01239
303,00000 0,01244
304,00000 0,01249
305,00000 0,01254
306,00000 0,01254
307,00000 0,01259
308,00000 0,01264
309,00000 0,01268
310,00000 0,01268
311,00000 0,01273
312,00000 0,01278
313,00000 0,01283
314,00000 0,01283
315,00000 0,01288
316,00000 0,01293
317,00000 0,01298
318,00000 0,01298
319,00000 0,01302
320,00000 0,01307
321,00000 0,01312
322,00000 0,01312
323,00000 0,01316
324,00000 0,01322
325,00000 0,01326
326,00000 0,01331
327,00000 0,01331
328,00000 0,01336
329,00000 0,01341
330,00000 0,01346
331,00000 0,01346
332,00000 0,01351
333,00000 0,01356
334,00000 0,01360
335,00000 0,01360
336,00000 0,01365
337,00000 0,01370
338,00000 0,01375
339,00000 0,01375
340,00000 0,01379
341,00000 0,01384
342,00000 0,01389
343,00000 0,01389
344,00000 0,01394
345,00000 0,01399
346,00000 0,01404
347,00000 0,01404
348,00000 0,01407
349,00000 0,01413
350,00000 0,01417
351,00000 0,01417
352,00000 0,01422
353,00000 0,01426
354,00000 0,01431
355,00000 0,01431
356,00000 0,01435
357,00000 0,01439
358,00000 0,01443
359,00000 0,01443
360,00000 0,01447
361,00000 0,01452
362,00000 0,01456
363,00000 0,01456
364,00000 0,01461
365,00000 0,01465
366,00000 0,01470
367,00000 0,01470
368,00000 0,01474
369,00000 0,01477
370,00000 0,01482
371,00000 0,01482
372,00000 0,01487
373,00000 0,01491
374,00000 0,01495
375,00000 0,01495
376,00000 0,01500
377,00000 0,01503
378,00000 0,01508
379,00000 0,01508
380,00000 0,01512
381,00000 0,01517
382,00000 0,01520
383,00000 0,01520
384,00000 0,01524
385,00000 0,01529
386,00000 0,01532
387,00000 0,01532
388,00000 0,01536
389,00000 0,01539
390,00000 0,01542
391,00000 0,01542
392,00000 0,01546
393,00000 0,01549
394,00000 0,01553
395,00000 0,01553
396,00000 0,01556
397,00000 0,01559
398,00000 0,01562
399,00000 0,01562
400,00000 0,01565
401,00000 0,01567
402,00000 0,01570
403,00000 0,01573
404,00000 0,01573
405,00000 0,01575
406,00000 0,01578
407,00000 0,01580
408,00000 0,01580
409,00000 0,01582
410,00000 0,01583
411,00000 0,01586
412,00000 0,01586
413,00000 0,01587
414,00000 0,01589
415,00000 0,01590
416,00000 0,01590
417,00000 0,01591
418,00000 0,01592
419,00000 0,01594
420,00000 0,01594
